Sample ID,Protein (g),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Potassium (mg),Iron (mg),Fiber (g),Calories (kcal)
MOR-4700,5.92,0.4,227.69,390.07,376.41,2.55,3.72,51.0
MOR-1974,8.11,0.25,102.77,232.82,338.86,2.07,2.97,60.0
MOR-3745,5.67,0.55,222.72,224.27,160.03,2.73,6.13,44.0
MOR-3064,8.14,0.49,136.24,381.36,381.54,0.73,3.92,62.0
MOR-4506,8.36,0.47,217.02,367.47,290.91,0.75,2.09,48.0
MOR-6700,2.58,0.41,204.07,374.62,296.9,1.79,5.53,48.0
MOR-1850,6.77,0.39,51.2,278.22,217.22,1.48,4.65,42.0
MOR-4999,6.62,0.5,220.98,336.43,194.36,1.36,4.84,36.0
MOR-2365,2.1,0.17,76.53,344.9,150.73,2.7,2.03,39.0
MOR-6020,3.13,0.59,212.66,309.78,182.92,1.69,4.56,61.0
MOR-2639,3.46,0.19,104.02,211.15,152.34,0.58,6.58,51.0
MOR-3453,8.15,0.39,62.41,234.76,330.21,2.64,6.25,52.0
MOR-3003,4.55,0.43,208.35,375.88,301.96,0.67,5.74,44.0
MOR-5463,2.43,0.8,169.14,242.95,323.4,2.94,5.66,56.0
MOR-5693,7.95,0.88,74.01,348.06,252.16,2.68,3.88,54.0
MOR-5871,8.64,0.16,115.55,218.42,318.09,2.03,2.64,41.0
MOR-6329,6.59,0.6,150.38,301.96,211.53,1.41,7.22,43.0
MOR-6616,3.19,0.58,115.68,284.8,241.65,1.76,6.19,51.0
MOR-7542,3.73,0.75,92.03,245.8,175.72,1.21,4.98,39.0
MOR-7851,7.87,0.56,170.78,373.16,214.28,1.84,5.36,43.0
MOR-1381,7.95,0.28,102.86,256.15,387.25,2.39,6.54,69.0
MOR-9461,2.83,0.86,62.04,292.19,239.12,1.56,6.44,40.0
MOR-1317,3.31,0.83,84.42,384.3,377.09,2.3,7.76,69.0
MOR-6810,5.73,0.15,175.45,267.3,386.7,2.57,5.71,32.0
MOR-8413,8.42,0.13,193.93,201.82,225.53,1.65,4.78,35.0
MOR-9441,5.88,0.64,152.15,351.56,303.76,1.12,7.61,42.0
MOR-9458,3.86,0.23,219.77,332.24,306.28,1.33,2.5,68.0
MOR-4839,4.65,0.58,59.27,337.03,392.44,2.37,6.22,33.0
MOR-8666,7.35,0.51,246.94,339.73,377.81,1.97,5.72,67.0
MOR-8965,5.31,0.8,68.68,242.89,302.84,2.47,4.42,37.0
MOR-7044,7.06,0.4,179.63,260.45,165.27,1.09,5.86,50.0
MOR-6584,2.71,0.64,246.61,252.87,190.92,1.01,6.27,56.0
MOR-2385,7.24,0.88,128.74,380.4,232.09,1.16,7.31,48.0
MOR-7726,7.08,0.36,96.66,392.86,348.98,1.7,7.3,44.0
MOR-8868,4.94,0.87,108.34,352.19,225.53,1.35,7.66,37.0
MOR-2866,8.88,0.36,185.41,208.4,180.32,2.75,5.97,61.0
MOR-4443,2.34,0.45,100.05,305.64,255.1,1.87,6.97,50.0
MOR-9389,5.15,0.62,59.77,203.66,357.87,0.65,5.41,39.0
MOR-1723,8.41,0.62,188.96,321.55,318.99,1.05,6.88,33.0
MOR-2337,3.67,0.87,96.21,290.77,363.79,2.11,5.1,49.0
MOR-6349,3.48,0.79,72.66,374.17,182.13,1.1,3.82,56.0
MOR-6026,7.51,0.35,154.54,312.32,187.92,1.84,5.91,55.0
MOR-8961,5.76,0.88,230.53,361.0,318.99,2.54,6.51,52.0
MOR-8194,4.95,0.61,192.0,223.03,234.61,2.98,2.22,44.0
MOR-2744,2.47,0.64,117.65,338.73,362.07,2.64,6.3,69.0
MOR-8389,5.13,0.32,55.33,319.52,300.65,1.09,6.19,58.0
MOR-6984,4.9,0.62,108.87,313.98,266.03,0.92,5.06,61.0
MOR-4842,5.11,0.62,51.51,279.1,359.61,0.77,3.0,69.0
MOR-6797,8.11,0.19,149.07,283.34,196.42,1.23,5.05,58.0
MOR-9917,8.55,0.47,66.51,258.75,353.37,0.74,4.23,63.0
MOR-8008,5.32,0.89,121.44,256.26,383.44,1.05,6.1,67.0
MOR-6482,4.37,0.29,244.31,222.12,380.7,2.04,5.16,57.0
MOR-8387,5.48,0.24,189.73,203.66,309.18,0.73,6.76,45.0
MOR-1392,4.59,0.61,76.82,238.8,202.05,1.7,5.97,39.0
MOR-4182,2.14,0.58,109.42,366.55,242.66,2.89,7.02,57.0
MOR-8511,3.82,0.59,187.07,203.21,349.72,2.49,6.77,53.0
MOR-7353,6.42,0.78,91.8,222.31,150.28,1.3,5.35,55.0
MOR-5940,8.4,0.75,69.05,399.2,177.31,1.15,2.61,67.0
MOR-6679,3.11,0.12,66.05,304.12,201.69,1.05,3.63,34.0
MOR-6941,6.4,0.84,121.57,377.21,355.03,1.66,2.24,52.0
MOR-6306,3.6,0.65,187.66,231.46,370.13,2.35,3.3,55.0
MOR-2766,7.35,0.62,109.64,385.83,247.94,1.77,7.81,68.0
MOR-9184,5.77,0.81,249.01,319.66,375.7,1.54,5.87,56.0
MOR-2575,7.39,0.86,157.59,269.88,387.6,0.99,5.17,34.0
MOR-4870,8.95,0.46,245.33,353.76,218.61,2.61,2.9,63.0
MOR-4200,7.92,0.88,195.35,375.62,203.79,0.94,5.44,46.0
MOR-1260,6.65,0.43,221.1,210.9,240.25,0.53,6.47,44.0
MOR-6021,7.17,0.66,188.04,201.48,329.64,2.72,4.39,53.0
MOR-3446,5.14,0.19,137.71,284.59,151.89,1.52,4.55,48.0
MOR-5532,8.16,0.77,148.4,392.03,350.29,2.15,7.88,64.0
MOR-5937,3.95,0.13,214.62,266.17,309.79,1.93,6.99,44.0
MOR-9444,3.78,0.59,122.43,208.56,397.67,2.45,6.69,64.0
MOR-2648,4.29,0.49,114.14,226.52,172.18,2.14,5.75,31.0
MOR-4724,7.23,0.41,151.47,362.24,329.49,2.7,5.25,36.0
MOR-1751,3.76,0.85,115.7,387.42,209.06,2.0,5.57,41.0
MOR-8954,3.51,0.38,129.78,344.62,216.79,2.06,5.67,46.0
MOR-5242,7.21,0.61,130.42,294.01,245.74,1.55,4.14,34.0
MOR-4382,3.58,0.75,204.1,360.98,354.71,1.83,4.04,48.0
MOR-5586,5.14,0.77,126.38,291.47,386.42,2.35,3.52,70.0
MOR-2783,7.77,0.65,152.6,243.9,361.54,2.88,2.26,31.0
MOR-2176,7.05,0.4,163.39,312.38,302.16,1.79,4.41,40.0
MOR-7531,4.1,0.78,144.87,211.36,271.12,2.5,6.34,54.0
MOR-7880,4.35,0.84,162.32,242.14,399.47,1.82,6.31,54.0
MOR-7876,5.26,0.6,180.39,373.81,338.27,1.54,7.35,47.0
MOR-8305,3.21,0.58,190.2,376.68,298.71,0.94,7.4,31.0
MOR-2497,4.34,0.72,176.7,374.45,315.65,1.56,3.99,33.0
MOR-2069,7.94,0.56,71.46,325.98,160.24,1.24,5.56,67.0
MOR-2199,7.56,0.22,145.49,230.92,343.66,1.72,6.64,59.0
MOR-1394,6.85,0.49,58.05,271.94,339.46,0.92,6.18,48.0
MOR-5341,8.16,0.86,128.16,379.41,171.1,2.54,2.09,46.0
MOR-3600,2.14,0.8,143.15,291.66,166.55,2.0,2.47,38.0
MOR-1298,6.4,0.61,176.96,376.2,189.58,1.94,7.06,62.0
MOR-1353,6.55,0.86,164.36,276.26,264.8,0.98,4.82,63.0
MOR-8616,2.58,0.77,93.97,238.23,247.21,2.14,2.02,34.0
MOR-1306,2.09,0.5,171.3,211.87,232.46,1.52,4.18,62.0
MOR-4057,6.68,0.82,155.52,257.23,223.43,1.44,2.48,68.0
MOR-4740,5.99,0.78,152.09,364.13,244.28,2.53,6.54,50.0
MOR-7705,5.71,0.84,215.79,348.99,307.75,1.52,2.22,43.0
MOR-9058,7.52,0.84,236.7,344.88,223.74,2.14,5.77,33.0
MOR-7438,8.79,0.85,169.31,288.13,396.84,2.34,4.76,54.0
MOR-6727,3.1,0.24,79.07,226.78,244.99,2.04,7.83,65.0
MOR-3483,2.75,0.27,176.63,327.42,377.71,2.83,3.73,53.0
MOR-3095,7.32,0.83,221.44,305.34,329.49,2.44,4.82,36.0
MOR-7367,2.34,0.37,92.09,239.96,308.3,1.74,6.93,63.0
MOR-6161,6.51,0.63,140.69,212.44,179.75,2.17,2.56,62.0
MOR-4866,3.16,0.49,192.49,207.43,357.67,1.61,2.57,60.0
MOR-7513,5.17,0.61,172.1,396.12,364.9,1.38,3.59,39.0
MOR-5074,6.8,0.84,195.07,282.93,321.86,2.71,3.09,52.0
MOR-2231,7.58,0.75,55.0,297.32,396.94,1.73,4.62,52.0
MOR-7673,2.7,0.37,95.75,327.67,334.91,1.01,4.53,58.0
MOR-7608,3.91,0.12,225.48,229.84,227.74,2.84,6.51,48.0
MOR-9635,6.87,0.9,127.22,268.7,343.03,1.78,5.65,36.0
MOR-7180,7.09,0.73,87.87,373.02,188.07,2.64,7.72,55.0
MOR-7661,5.38,0.59,105.33,308.36,193.79,0.75,5.49,64.0
MOR-5362,8.84,0.33,219.03,258.73,381.46,1.04,5.09,37.0
MOR-5258,8.53,0.65,191.93,200.53,265.23,1.29,2.6,56.0
MOR-4543,8.21,0.25,176.68,299.83,222.92,2.98,5.66,57.0
MOR-5230,2.65,0.8,181.74,384.99,188.25,0.66,5.6,34.0
MOR-4341,3.85,0.77,137.47,327.45,344.13,2.21,7.23,57.0
MOR-3089,8.29,0.46,180.34,229.39,243.86,2.7,7.26,52.0
MOR-9470,6.09,0.62,232.91,207.19,256.52,1.59,3.57,47.0
MOR-2875,7.0,0.77,144.69,247.39,280.36,2.0,5.89,64.0
MOR-6836,8.9,0.1,237.97,346.85,381.33,2.13,3.1,39.0
MOR-9192,4.89,0.27,203.14,204.31,154.23,2.0,6.47,38.0
MOR-1642,8.58,0.83,178.94,331.08,317.63,1.95,7.5,38.0
MOR-1645,2.5,0.62,194.46,303.32,369.65,1.43,2.77,39.0
MOR-9023,8.84,0.2,58.07,371.29,299.28,0.8,7.78,43.0
MOR-7695,5.56,0.5,128.27,296.39,197.62,1.77,3.04,70.0
MOR-6753,4.71,0.65,176.95,204.48,293.56,2.84,3.4,48.0
MOR-1247,5.93,0.68,178.33,279.22,281.55,0.58,2.14,53.0
MOR-6339,5.98,0.37,92.57,357.53,364.66,2.89,2.44,64.0
MOR-6021,6.63,0.21,67.85,207.29,277.58,2.48,5.11,50.0
MOR-5642,3.2,0.36,151.05,228.18,183.55,1.58,5.1,60.0
MOR-5611,7.41,0.51,170.81,207.47,213.15,0.81,4.24,41.0
MOR-3514,7.47,0.7,95.85,367.39,358.19,2.93,4.46,64.0
MOR-8893,5.7,0.9,82.06,383.38,204.96,0.87,6.5,33.0
MOR-1718,6.29,0.81,159.1,289.21,265.65,1.09,3.64,61.0
MOR-6463,3.11,0.52,50.91,273.47,169.7,2.99,7.62,46.0
MOR-7664,4.27,0.4,162.75,286.82,223.82,1.15,6.19,70.0
MOR-4485,5.2,0.16,78.62,344.31,159.14,2.33,4.28,55.0
MOR-4294,5.97,0.48,161.95,220.62,320.69,2.77,4.35,47.0
MOR-8618,3.69,0.8,199.1,304.66,207.92,1.88,2.68,40.0
MOR-9155,7.29,0.89,226.8,344.7,195.91,2.04,6.68,33.0
MOR-9442,8.65,0.21,236.05,349.51,259.49,2.91,2.7,33.0
MOR-3107,8.93,0.31,87.9,273.84,174.3,1.93,6.53,30.0
MOR-5114,7.07,0.89,213.98,210.53,301.84,2.22,3.2,67.0
MOR-8759,3.16,0.22,229.56,259.8,299.1,0.78,6.15,43.0
MOR-2897,8.76,0.17,68.77,288.27,396.93,2.94,6.5,47.0
MOR-7749,5.75,0.31,131.65,261.08,274.74,1.58,6.56,31.0
MOR-7118,5.59,0.76,130.26,222.4,385.64,0.59,2.89,43.0
MOR-7121,8.62,0.45,94.68,281.17,309.05,2.36,3.51,43.0
MOR-6858,7.78,0.11,228.74,270.88,399.35,2.64,5.71,32.0
MOR-5548,2.28,0.66,192.21,256.3,318.53,2.5,6.33,59.0
MOR-7695,7.9,0.85,115.74,340.04,217.53,2.77,5.03,54.0
MOR-6822,2.49,0.65,86.53,281.93,197.1,0.73,5.31,34.0
MOR-4956,8.58,0.52,116.48,252.33,257.67,1.47,7.37,32.0
MOR-2166,3.22,0.57,97.64,205.14,280.14,0.93,2.7,44.0
MOR-4230,2.8,0.7,198.58,313.51,186.15,2.89,7.73,47.0
MOR-1731,8.94,0.18,247.66,205.28,250.67,0.9,2.44,69.0
MOR-9599,7.68,0.79,115.57,395.93,333.05,1.7,2.66,66.0
MOR-3110,3.82,0.49,200.95,310.06,244.74,2.13,7.77,70.0
MOR-1769,4.86,0.44,82.07,229.14,188.74,2.94,2.87,50.0
MOR-1320,5.03,0.26,95.76,371.14,290.7,2.49,3.23,35.0
MOR-1716,3.04,0.55,167.72,350.2,390.99,2.06,5.74,46.0
MOR-9970,3.89,0.36,79.11,256.11,171.78,1.88,6.64,40.0
MOR-1616,8.05,0.62,211.66,360.45,223.27,1.05,4.63,50.0
MOR-1985,2.44,0.12,125.48,380.99,240.99,2.88,2.96,31.0
MOR-3715,8.41,0.62,135.24,281.63,221.71,1.06,6.23,63.0
MOR-6747,2.62,0.6,152.49,234.97,295.22,1.38,4.91,53.0
MOR-8366,6.98,0.33,51.11,200.37,260.15,1.51,4.41,47.0
MOR-9161,3.96,0.82,201.43,323.52,298.81,0.87,2.44,54.0
MOR-4264,7.44,0.17,152.34,377.28,376.42,2.1,2.59,54.0
MOR-9186,4.3,0.75,152.52,210.57,211.09,1.51,5.91,37.0
MOR-4636,4.29,0.12,111.08,211.05,165.27,2.25,7.86,63.0
MOR-1920,3.11,0.62,115.19,228.86,360.2,2.12,4.73,51.0
MOR-4383,4.99,0.55,200.13,209.54,244.42,1.54,5.54,46.0
MOR-5119,4.43,0.71,182.4,322.63,307.86,1.24,6.83,67.0
MOR-7069,6.92,0.24,237.55,371.11,186.59,2.78,7.29,38.0
MOR-3423,8.44,0.17,140.39,384.25,331.55,1.95,2.95,35.0
MOR-1080,6.35,0.25,204.58,234.16,209.47,1.31,3.13,33.0
MOR-4266,4.46,0.75,240.89,237.58,312.37,2.97,6.48,57.0
MOR-7399,7.61,0.43,129.37,347.13,172.53,1.05,3.3,64.0
MOR-4954,3.16,0.21,86.87,336.94,253.66,2.93,3.62,47.0
MOR-4662,5.65,0.73,130.26,326.05,187.58,2.3,5.14,35.0
MOR-4437,2.16,0.22,98.79,291.43,165.47,1.47,7.04,62.0
MOR-5166,5.5,0.41,95.72,313.61,267.57,2.83,4.66,44.0
MOR-8743,2.33,0.25,152.56,242.53,344.88,2.99,3.46,66.0
MOR-1365,4.87,0.34,139.78,272.24,329.47,1.33,7.38,34.0
MOR-5027,5.73,0.54,128.57,385.97,396.46,2.07,4.09,69.0
MOR-6100,8.44,0.51,208.74,395.66,202.09,2.72,4.57,54.0
MOR-7813,2.57,0.29,71.35,200.4,161.02,2.58,4.79,68.0
MOR-6734,7.3,0.59,96.74,201.14,168.45,1.85,4.88,61.0
MOR-9271,4.21,0.69,156.71,309.76,255.1,2.56,7.87,51.0
MOR-7077,7.27,0.14,215.86,356.29,160.0,0.54,3.64,56.0
MOR-4507,4.75,0.32,52.04,335.52,378.43,1.31,3.68,62.0
MOR-5186,8.37,0.85,151.7,233.48,331.24,1.27,6.33,64.0
MOR-6761,8.25,0.28,141.51,255.84,397.76,0.96,7.55,53.0
MOR-7854,7.22,0.75,141.12,343.41,328.98,2.68,7.34,44.0
MOR-4163,7.84,0.81,133.79,255.87,258.38,1.94,2.63,64.0
MOR-1158,7.0,0.38,137.44,281.84,237.95,2.02,7.54,60.0
MOR-2470,5.12,0.22,178.02,331.83,311.02,2.41,5.67,31.0
MOR-8580,6.22,0.84,151.1,365.84,339.56,2.3,5.99,57.0
MOR-4927,4.69,0.15,155.28,366.23,369.16,0.51,4.72,50.0
MOR-3573,6.53,0.6,101.12,399.58,235.45,1.31,5.7,62.0
MOR-1300,4.7,0.14,103.35,266.01,173.39,1.68,4.14,65.0
MOR-4159,2.18,0.69,217.59,270.29,355.78,1.09,6.91,53.0
MOR-4434,6.73,0.53,193.79,351.07,243.31,2.09,4.08,66.0
MOR-4811,4.83,0.62,149.08,269.72,183.48,1.52,2.13,68.0
MOR-5895,7.11,0.32,60.25,395.04,312.34,2.16,6.66,43.0
MOR-8476,3.61,0.82,184.55,201.73,382.61,1.23,3.0,44.0
MOR-8773,4.61,0.66,200.98,265.94,192.32,1.56,3.47,60.0
MOR-5252,6.03,0.87,71.31,247.6,232.74,0.66,2.15,52.0
MOR-3752,3.45,0.62,99.22,383.44,301.84,2.97,2.45,40.0
MOR-8607,5.3,0.4,69.39,206.71,205.95,2.69,7.45,39.0
MOR-2579,2.84,0.35,96.45,314.88,395.56,1.97,2.38,66.0
MOR-4263,4.87,0.88,84.43,388.53,336.24,0.61,6.75,52.0
MOR-7806,6.42,0.69,221.23,310.35,253.89,2.56,4.52,54.0
MOR-3552,6.3,0.58,173.93,366.52,242.34,1.5,2.37,57.0
MOR-7633,3.86,0.44,136.25,226.42,292.0,2.07,3.48,62.0
MOR-3550,8.61,0.39,176.7,336.87,243.8,0.88,4.31,58.0
MOR-7834,5.41,0.81,242.61,201.14,208.36,1.39,7.21,32.0
MOR-1215,7.55,0.82,163.12,396.49,194.36,2.47,4.98,48.0
MOR-1647,8.4,0.25,229.8,263.61,317.19,2.73,5.69,37.0
MOR-1161,7.07,0.31,241.35,226.75,253.42,1.94,3.11,66.0
MOR-2801,6.74,0.54,111.77,355.5,283.05,2.52,2.03,40.0
MOR-1504,5.18,0.35,160.57,243.54,385.68,2.71,3.36,30.0
MOR-3823,2.09,0.68,174.91,296.13,160.73,1.66,5.58,56.0
MOR-5966,6.43,0.28,52.63,229.23,175.51,2.53,7.45,57.0
MOR-2081,7.89,0.27,70.07,347.17,382.79,0.53,3.25,33.0
MOR-9848,5.08,0.85,72.87,231.12,380.3,0.63,3.82,54.0
MOR-9807,6.2,0.26,180.61,274.9,292.82,1.7,4.17,54.0
MOR-6872,3.6,0.67,57.75,208.44,290.77,2.79,3.42,61.0
MOR-3602,6.0,0.43,60.26,209.8,226.31,2.64,3.24,65.0
MOR-1411,5.6,0.86,184.5,286.66,357.79,0.56,3.77,42.0
MOR-7929,8.63,0.3,241.44,256.85,270.89,2.61,3.12,34.0
MOR-1842,7.04,0.24,231.5,267.27,390.45,1.77,7.82,43.0
MOR-6114,8.93,0.71,151.42,211.39,324.72,2.14,3.45,57.0
MOR-6628,3.42,0.52,95.63,277.48,358.26,2.45,4.26,39.0
MOR-9074,8.65,0.9,65.55,207.56,254.17,1.19,3.0,66.0
MOR-8707,7.22,0.39,93.7,355.54,319.61,1.61,2.68,36.0
MOR-9133,3.5,0.89,84.37,257.94,162.49,2.48,7.73,51.0
MOR-8570,8.99,0.41,192.27,236.53,151.54,2.96,6.96,60.0
MOR-2439,8.25,0.54,163.01,297.6,356.4,2.27,6.05,31.0
MOR-3448,2.7,0.39,206.68,273.6,156.53,1.13,2.21,39.0
MOR-7254,2.19,0.21,159.55,287.64,364.51,1.27,5.05,61.0
MOR-5788,4.45,0.67,184.13,317.41,254.6,2.08,7.5,41.0
MOR-5076,2.92,0.53,129.05,277.22,327.46,0.91,3.4,44.0
MOR-3204,6.28,0.27,131.28,301.5,202.27,2.85,5.52,52.0
MOR-6707,7.07,0.19,138.27,372.83,197.48,1.66,5.13,55.0
MOR-6104,7.79,0.39,190.17,352.7,185.41,1.69,3.44,45.0
MOR-7913,4.94,0.89,206.39,256.63,243.9,2.7,7.34,44.0
MOR-1932,2.61,0.42,231.88,374.61,277.38,2.75,6.91,65.0
MOR-9896,6.54,0.18,79.47,217.07,289.87,0.59,2.26,61.0
MOR-7863,2.26,0.87,190.66,320.23,203.35,1.21,7.84,36.0
MOR-3326,7.31,0.47,235.43,234.98,361.79,2.14,2.83,32.0
MOR-3925,2.77,0.28,55.2,241.23,295.75,0.61,2.54,53.0
MOR-3003,3.15,0.88,64.74,272.73,393.14,1.03,3.12,37.0
MOR-2207,4.99,0.62,119.19,238.91,237.86,1.27,5.15,67.0
MOR-2454,6.89,0.66,109.46,221.49,358.12,2.76,3.08,36.0
MOR-2965,8.61,0.78,88.69,362.04,298.28,0.68,2.91,38.0
MOR-7658,8.83,0.8,153.95,203.64,271.8,1.42,4.56,34.0
MOR-8898,8.7,0.48,147.67,269.41,344.53,0.93,4.64,65.0
MOR-3793,4.28,0.66,169.86,323.88,199.99,2.42,2.69,67.0
MOR-2773,6.54,0.48,220.46,354.51,173.88,1.87,4.77,69.0
MOR-6296,5.84,0.45,243.8,255.32,232.52,2.02,4.44,37.0
MOR-4578,7.97,0.2,206.4,286.27,255.88,1.27,3.76,43.0
MOR-4870,4.8,0.76,246.65,271.19,383.96,2.54,3.93,42.0
MOR-8303,5.32,0.65,83.36,260.5,356.74,2.29,5.25,65.0
MOR-1163,5.69,0.64,181.6,281.5,279.17,2.53,2.54,34.0
MOR-4739,6.84,0.18,235.0,306.56,334.19,1.98,7.61,48.0
MOR-4825,8.42,0.65,242.46,257.79,252.28,2.89,7.64,39.0
MOR-3033,3.94,0.35,133.21,268.08,185.79,1.85,4.06,32.0
MOR-9235,7.06,0.67,99.07,352.98,280.86,0.75,2.31,59.0
MOR-3189,5.63,0.78,126.73,370.8,167.53,2.84,6.37,56.0
MOR-6555,5.23,0.35,233.39,267.38,353.33,2.24,5.93,53.0
MOR-2631,7.77,0.31,117.94,326.3,171.56,1.5,4.9,49.0
MOR-6881,4.48,0.23,220.58,344.07,242.51,0.64,4.12,62.0
MOR-7918,7.73,0.57,53.48,248.63,382.94,2.69,3.22,46.0
MOR-7685,6.3,0.63,228.59,222.44,395.39,2.17,7.28,49.0
MOR-4101,3.06,0.22,70.98,252.19,304.16,2.74,2.86,68.0
MOR-2317,8.37,0.65,151.33,254.91,334.33,1.11,2.96,63.0
MOR-7414,2.02,0.62,223.74,387.94,314.33,1.61,3.03,44.0
MOR-7618,7.58,0.42,156.67,283.69,182.5,2.13,5.53,65.0
MOR-5884,2.1,0.72,64.4,266.43,342.66,0.86,2.89,52.0
MOR-4716,2.87,0.58,60.36,203.63,355.59,2.66,3.84,62.0
MOR-7454,8.17,0.9,160.85,343.28,217.37,2.67,3.71,60.0
MOR-6767,2.79,0.68,189.56,299.09,174.16,2.27,5.17,32.0
MOR-1683,6.29,0.76,201.06,343.14,293.84,0.71,2.02,51.0
MOR-5020,7.4,0.63,168.13,397.96,216.95,1.83,2.13,60.0
MOR-9123,8.44,0.6,219.9,222.08,160.14,1.09,4.87,50.0
MOR-3485,3.38,0.82,192.54,376.66,166.05,1.52,7.4,51.0
MOR-9306,8.6,0.38,179.6,203.99,253.41,1.84,4.74,45.0
MOR-7567,6.55,0.69,236.26,238.3,156.1,1.5,4.14,35.0
MOR-5161,3.27,0.79,167.36,310.93,236.11,1.44,5.16,61.0
MOR-4707,7.9,0.69,204.88,331.14,231.84,1.71,3.93,52.0
MOR-6175,2.9,0.32,70.15,395.45,272.13,1.57,7.85,37.0
MOR-7124,3.49,0.36,89.17,236.58,275.42,1.22,2.22,43.0
MOR-7362,8.17,0.24,209.93,300.33,396.64,2.17,6.44,66.0
MOR-4980,7.37,0.89,56.83,311.18,336.07,0.55,4.22,65.0
MOR-1335,5.58,0.27,164.56,228.89,378.54,1.1,6.49,62.0
MOR-4452,3.72,0.34,114.74,332.05,274.0,1.17,5.79,61.0
MOR-3759,5.21,0.39,87.64,265.03,167.04,2.76,3.02,42.0
MOR-7302,6.79,0.45,241.73,258.9,277.3,1.46,4.3,56.0
MOR-9214,7.76,0.73,123.14,315.3,388.75,2.05,5.6,33.0
MOR-8902,2.68,0.44,193.51,306.75,262.06,1.87,5.35,51.0
MOR-8837,7.1,0.25,210.31,236.72,268.32,1.07,6.96,41.0
MOR-9805,3.4,0.76,211.81,314.06,164.05,1.8,4.61,36.0
MOR-9132,4.26,0.52,240.28,309.29,284.12,2.68,3.63,41.0
MOR-9106,3.81,0.11,56.56,343.78,209.22,2.1,7.91,68.0
MOR-3267,6.39,0.61,106.74,247.91,202.35,1.04,3.12,33.0
MOR-9445,8.21,0.88,247.21,249.9,244.27,1.11,7.4,64.0
MOR-5209,2.09,0.31,114.38,279.6,353.86,2.49,6.49,63.0
MOR-4569,5.51,0.77,78.42,206.71,193.87,2.72,2.3,66.0
MOR-3300,5.18,0.28,210.83,291.61,351.75,2.69,6.99,37.0
MOR-2665,6.88,0.38,78.68,201.53,380.79,2.91,2.41,60.0
MOR-1776,4.16,0.52,160.25,325.15,231.75,1.63,6.54,35.0
MOR-7597,3.53,0.12,90.43,348.37,309.36,2.61,7.07,52.0
MOR-5302,4.12,0.82,67.87,292.64,193.14,2.02,4.04,57.0
MOR-1948,7.76,0.42,82.98,233.51,277.8,2.39,3.61,42.0
MOR-2882,6.26,0.63,102.37,302.58,302.14,0.83,3.7,68.0
MOR-3101,3.41,0.61,215.21,233.39,364.41,2.43,4.06,32.0
MOR-7202,3.95,0.78,121.16,263.13,384.71,1.3,7.45,52.0
MOR-1635,2.61,0.12,55.23,208.19,348.28,1.8,6.29,34.0
MOR-4339,8.17,0.83,200.3,380.78,342.83,0.54,4.0,51.0
MOR-3057,4.97,0.84,68.45,311.16,335.23,1.57,4.02,31.0
MOR-8494,2.32,0.25,113.51,259.31,189.85,0.79,2.92,51.0
MOR-4604,7.23,0.35,209.43,303.19,214.12,1.17,3.02,30.0
MOR-2393,7.17,0.66,243.03,354.17,204.63,1.34,2.07,63.0
MOR-4348,2.25,0.87,198.35,338.0,246.21,0.86,5.44,57.0
MOR-4573,7.73,0.85,218.64,344.03,350.0,0.68,7.83,67.0
MOR-1945,7.24,0.21,238.85,368.61,272.99,2.0,7.44,39.0
MOR-6520,3.57,0.72,137.76,255.47,289.42,0.77,5.88,39.0
MOR-4954,8.96,0.52,74.17,235.32,243.98,2.38,7.15,53.0
MOR-3783,4.5,0.29,222.3,241.38,253.34,2.19,2.47,46.0
MOR-8015,4.97,0.49,207.89,335.72,397.58,2.22,7.14,51.0
MOR-6932,2.31,0.71,218.64,399.09,336.23,1.05,3.08,45.0
MOR-3382,4.25,0.21,177.8,350.86,273.56,0.75,6.38,51.0
MOR-5632,7.36,0.77,70.15,328.78,172.85,0.91,3.84,52.0
MOR-8509,5.94,0.73,181.19,304.78,197.19,2.13,5.28,36.0
MOR-3745,7.7,0.28,134.38,227.52,327.42,2.87,7.44,51.0
MOR-1148,6.79,0.84,240.81,311.96,258.05,2.71,7.37,39.0
MOR-9331,8.68,0.26,54.58,244.89,288.97,1.74,4.94,56.0
MOR-5995,3.26,0.47,211.19,226.14,259.58,2.37,6.05,65.0
MOR-9811,4.42,0.74,217.79,250.79,302.51,1.91,3.56,37.0
MOR-9771,7.62,0.88,239.22,306.43,233.42,2.3,2.86,62.0
MOR-6175,5.86,0.49,165.93,265.46,171.97,2.45,3.37,46.0
MOR-5327,2.78,0.78,60.2,361.51,169.09,2.64,7.18,39.0
MOR-7612,2.98,0.44,195.81,336.27,399.88,1.32,4.59,67.0
MOR-6828,3.78,0.9,225.58,332.27,302.11,2.92,6.22,58.0
MOR-7729,3.56,0.22,86.57,230.37,247.34,0.55,6.92,52.0
MOR-2938,8.06,0.47,221.97,264.45,203.83,1.59,3.62,42.0
MOR-9083,4.04,0.44,135.84,279.12,234.74,2.24,4.63,41.0
MOR-3529,2.15,0.6,193.7,346.62,214.42,2.7,6.64,33.0
MOR-4714,7.69,0.53,131.44,347.96,165.06,2.52,4.87,60.0
MOR-6895,8.43,0.89,108.77,258.26,182.46,1.3,6.53,33.0
MOR-7609,2.45,0.32,144.04,326.01,170.35,0.95,2.56,56.0
MOR-4615,4.3,0.52,249.51,360.33,272.73,1.8,5.91,40.0
